Month,Decade,Tmax(C),Tmin(C)
03,1966-1975,21.8,17.2
03,1966-1975,21.9,17.7
03,1966-1975,22.6,18.2
03,1966-1975,21.1,12.2
03,1966-1975,22.1,15.9
03,1966-1975,22.8,14.3
03,1966-1975,23,14.2
03,1966-1975,22.7,13
03,1966-1975,24.6,12.3
03,1966-1975,22.3,14.5
03,1966-1975,23.3,16.7
03,1966-1975,26,17.4
03,1966-1975,26,16.1
03,1966-1975,23.8,16.2
03,1966-1975,24.1,14.7
03,1966-1975,23.4,13.4
03,1966-1975,23.9,14.2
03,1966-1975,23.8,16.2
03,1966-1975,23.5,15.4
03,1966-1975,24.1,15.6
03,1966-1975,22.2,15.1
03,1966-1975,22.1,17.5
03,1966-1975,20.7,16.1
04,1966-1975,21.4,15.2
04,1966-1975,19.9,15.4
04,1966-1975,19.9,13.8
04,1966-1975,18.8,6.7
04,1966-1975,19.5,12.7
04,1966-1975,21.2,13.8
04,1966-1975,20.4,14.2
04,1966-1975,20.8,10.8
04,1966-1975,21.3,16.2
04,1966-1975,22.2,14.3
04,1966-1975,19.3,11.7
04,1966-1975,19.3,12.5
04,1966-1975,20,10.7
04,1966-1975,20.5,9.6
04,1966-1975,20.2,10
04,1966-1975,19.7,13
04,1966-1975,18.3,10.4
04,1966-1975,20.2,14.4
04,1966-1975,19.4,14.5
04,1966-1975,18.7,13.6
04,1966-1975,18.7,7.7
04,1966-1975,20.6,8.3
04,1966-1975,19.3,8.8
04,1966-1975,19.1,11.2
04,1966-1975,20.2,14
04,1966-1975,20.4,17.1
04,1966-1975,23.4,13.9
04,1966-1975,18.6,10
04,1966-1975,18.8,13.2
04,1966-1975,18.6,14.9
05,1966-1975,20.8,13.3
05,1966-1975,19.1,13
05,1966-1975,19.8,13
05,1966-1975,16.1,9.8
05,1966-1975,18.6,9.1
05,1966-1975,17.8,6.8
05,1966-1975,17.2,9.8
05,1966-1975,17.8,9.6
05,1966-1975,18.3,11.7
05,1966-1975,18.4,12.8
05,1966-1975,17.6,11.1
05,1966-1975,18.3,8.2
05,1966-1975,18.8,10.7
05,1966-1975,15.9,11.1
05,1966-1975,15.6,3.8
05,1966-1975,15.1,7.3
05,1966-1975,17.9,11.3
05,1966-1975,15.6,5.3
05,1966-1975,12.7,5.4
05,1966-1975,12.8,8.7
05,1966-1975,13.3,4
05,1966-1975,13.8,4.6
05,1966-1975,15.4,6.1
05,1966-1975,14.9,9.3
05,1966-1975,15.1,10.5
05,1966-1975,14,5.7
05,1966-1975,14.4,5.6
05,1966-1975,14.9,8.3
05,1966-1975,14.1,7.3
05,1966-1975,13.3,4.3
05,1966-1975,15.7,10.2
06,1966-1975,14.3,1.7
06,1966-1975,14.3,4.6
06,1966-1975,16.2,9.1
06,1966-1975,17.5,14.4
06,1966-1975,18.1,9.7
06,1966-1975,16.9,9.6
06,1966-1975,15.1,9.1
06,1966-1975,15.1,4.1
06,1966-1975,13.8,6.2
06,1966-1975,14.9,4.9
06,1966-1975,13.9,3.9
06,1966-1975,14.9,6.8
06,1966-1975,13.2,8.9
06,1966-1975,16.2,10.3
06,1966-1975,16.9,6.6
06,1966-1975,11.2,2.2
06,1966-1975,12.3,2.1
06,1966-1975,13.8,0.3
06,1966-1975,14.8,6.2
06,1966-1975,15.7,7.6
06,1966-1975,15.8,7.1
06,1966-1975,16.3,11
06,1966-1975,15.6,8.7
06,1966-1975,14.4,8.3
06,1966-1975,13.1,3.2
06,1966-1975,11,1.5
06,1966-1975,13.5,6.2
06,1966-1975,13.7,6.8
06,1966-1975,14.9,9.1
06,1966-1975,11.7,6.7
07,1966-1975,13.2,10
07,1966-1975,14.6,6.1
07,1966-1975,13.9,8.4
07,1966-1975,13.2,5.1
07,1966-1975,11.6,4.6
07,1966-1975,15.1,6.3
07,1966-1975,15.1,10.7
07,1966-1975,16.3,13.3
07,1966-1975,17,10.3
07,1966-1975,12.9,10.2
07,1966-1975,14.2,8.7
07,1966-1975,11.6,7.2
07,1966-1975,12,8.2
07,1966-1975,13.8,9.1
07,1966-1975,12.9,4.8
07,1966-1975,11.9,7.1
07,1966-1975,13.1,10.1
07,1966-1975,16.1,10.3
07,1966-1975,15.1,9.6
07,1966-1975,11.8,8
07,1966-1975,11.6,3.3
07,1966-1975,11.3,2.6
07,1966-1975,11.2,3.4
07,1966-1975,12.6,4.4
07,1966-1975,12.7,3.7
07,1966-1975,11.6,2.8
07,1966-1975,14.6,5
07,1966-1975,13.9,5
07,1966-1975,14.8,5.7
07,1966-1975,11.8,7.2
07,1966-1975,13.4,7.6
08,1966-1975,14,7.4
08,1966-1975,14.2,2.7
08,1966-1975,13.4,2.7
08,1966-1975,11.4,3.6
08,1966-1975,13.1,7.9
08,1966-1975,12.9,9.8
08,1966-1975,14.9,4.8
08,1966-1975,12.2,5.6
08,1966-1975,14.8,5.6
08,1966-1975,12.1,3.5
08,1966-1975,11.8,1.8
08,1966-1975,12.6,2.2
08,1966-1975,12.3,2.6
08,1966-1975,12.3,5
08,1966-1975,15.1,8.7
08,1966-1975,15.1,9.9
08,1966-1975,13.9,6.6
08,1966-1975,14.7,4.6
08,1966-1975,14.7,4.1
08,1966-1975,12.9,1.4
08,1966-1975,13.3,2.1
08,1966-1975,14,3.2
08,1966-1975,14.1,5.1
08,1966-1975,14.9,7.3
08,1966-1975,14.9,9.2
08,1966-1975,16.1,10
08,1966-1975,13.9,9.9
08,1966-1975,14.1,6.9
08,1966-1975,16,8.9
08,1966-1975,14,8.3
08,1966-1975,12.8,4.1
09,1966-1975,11.1,2.4
09,1966-1975,13.1,3
09,1966-1975,14.4,4.6
09,1966-1975,15.6,7.4
09,1966-1975,14.3,10.7
09,1966-1975,14.2,11.1
09,1966-1975,15.1,10.4
09,1966-1975,15.7,10.6
09,1966-1975,16.6,10.7
09,1966-1975,15.7,7.3
09,1966-1975,12.9,4.3
09,1966-1975,13.5,2.8
09,1966-1975,14.4,7.2
09,1966-1975,14.9,8.3
09,1966-1975,15.6,7.9
09,1966-1975,15.4,7.3
09,1966-1975,16.8,7.9
09,1966-1975,17.1,12
09,1966-1975,16.4,12.9
09,1966-1975,16.1,11.4
09,1966-1975,16.7,9.4
09,1966-1975,17.9,10.9
09,1966-1975,17.8,11.1
09,1966-1975,16.9,9.5
09,1966-1975,17.9,12.4
09,1966-1975,15.7,10.1
09,1966-1975,13.8,7.8
09,1966-1975,15.4,8.5
09,1966-1975,18.1,9.1
09,1966-1975,17.1,9.9
10,1966-1975,16.6,8.9
10,1966-1975,16.4,9.1
10,1966-1975,17.3,10.4
10,1966-1975,17.1,7.7
10,1966-1975,17.4,11.9
10,1966-1975,17,11.1
10,1966-1975,20,11.2
10,1966-1975,18.1,8.3
10,1966-1975,16.1,11.9
10,1966-1975,15.7,10
10,1966-1975,17.8,9.9
10,1966-1975,16.7,8.5
10,1966-1975,16.1,10.3
10,1966-1975,14.6,5.7
10,1966-1975,14.4,5.3
10,1966-1975,16,11.2
10,1966-1975,16.6,7.7
10,1966-1975,18.1,8
10,1966-1975,17.4,11.1
10,1966-1975,17.4,12.4
10,1966-1975,19.7,9.6
10,1966-1975,19.4,11
10,1966-1975,20.8,13.1
10,1966-1975,17.4,11.7
10,1966-1975,16.2,6.7
10,1966-1975,17.9,7.9
10,1966-1975,17.9,7.6
10,1966-1975,19.6,9.8
10,1966-1975,19.1,9.2
10,1966-1975,18.2,10.1
10,1966-1975,19.7,12.8
11,1966-1975,19,9.7
11,1966-1975,20.8,8.4
11,1966-1975,21.5,11.3
11,1966-1975,22.1,13.3
11,1966-1975,22.8,15.6
11,1966-1975,19.9,14.7
11,1966-1975,18.5,12.9
11,1966-1975,20.7,14.1
11,1966-1975,17.2,11.7
11,1966-1975,18.1,7.4
11,1966-1975,18,6.4
11,1966-1975,19.3,10
11,1966-1975,18.7,12.2
11,1966-1975,18.8,12.9
11,1966-1975,18.5,14.2
11,1966-1975,17.7,14.3
11,1966-1975,17.6,11.6
11,1966-1975,18.7,10.4
11,1966-1975,17.7,10.6
11,1966-1975,16.5,7.1
11,1966-1975,17.3,12.2
11,1966-1975,17.9,11.1
11,1966-1975,15.6,9.1
11,1966-1975,15.6,11.7
11,1966-1975,16.9,13.4
11,1966-1975,19.1,15.9
11,1966-1975,19.1,15.8
11,1966-1975,21.1,14.8
11,1966-1975,20.8,16.3
11,1966-1975,19.3,13.6
12,1966-1975,18.3,14.1
12,1966-1975,19.4,14.4
12,1966-1975,17.1,11.7
12,1966-1975,16.8,12.4
12,1966-1975,17.8,13.4
12,1966-1975,20.8,14.4
12,1966-1975,23.9,12.3
12,1966-1975,20.3,13
12,1966-1975,18.2,15.4
12,1966-1975,20.6,10.9
12,1966-1975,18.4,7.9
12,1966-1975,16.4,10.2
12,1966-1975,18.2,14.4
12,1966-1975,19.8,14.4
12,1966-1975,20.5,14.4
12,1966-1975,21.6,13.8
12,1966-1975,22.2,14.1
12,1966-1975,23.2,16.4
12,1966-1975,23.1,17.3
12,1966-1975,24.4,15.7
12,1966-1975,23.9,14
12,1966-1975,22.8,19.9
12,1966-1975,23.5,14.3
12,1966-1975,21.1,13.3
12,1966-1975,19.6,14.9
12,1966-1975,18.9,11.3
12,1966-1975,17.7,9.6
12,1966-1975,18.5,13.9
12,1966-1975,21.2,12.3
12,1966-1975,18.7,12.7
12,1966-1975,19.2,14
01,1966-1975,19,14.6
01,1966-1975,19.4,15.7
01,1966-1975,20.9,12.2
01,1966-1975,20.6,13.7
01,1966-1975,22.8,13.9
01,1966-1975,19.6,14.1
01,1966-1975,19.6,11.6
01,1966-1975,19.5,14.4
01,1966-1975,19.4,14.5
01,1966-1975,20.2,12.7
01,1966-1975,20.9,14.5
01,1966-1975,20.5,15
01,1966-1975,22.8,15.6
01,1966-1975,20.9,14.4
01,1966-1975,22.1,15.7
01,1966-1975,23.5,16.2
01,1966-1975,23.2,16.2
01,1966-1975,21.1,16.7
01,1966-1975,24,16.6
01,1966-1975,20,15.8
01,1966-1975,20.6,14.8
01,1966-1975,20.9,11.1
01,1966-1975,21.7,13.4
01,1966-1975,24.2,15.6
01,1966-1975,27.4,17.8
01,1966-1975,26.7,15.2
01,1966-1975,19.8,11.8
01,1966-1975,19.6,15.2
01,1966-1975,20.4,11.3
01,1966-1975,24.4,12.7
01,1966-1975,23.9,15.9
02,1966-1975,24.4,15.9
02,1966-1975,24.3,16.6
02,1966-1975,20.8,11.3
02,1966-1975,15.8,10
02,1966-1975,19.3,10
02,1966-1975,20.4,11.9
02,1966-1975,20.6,10.4
02,1966-1975,21,11.8
02,1966-1975,23.3,14.1
02,1966-1975,23.5,17.2
02,1966-1975,21.6,17.2
02,1966-1975,21.2,12.1
02,1966-1975,22.5,13.4
02,1966-1975,22.6,14
02,1966-1975,25.1,16
02,1966-1975,25.7,18.9
02,1966-1975,22.4,17.2
02,1966-1975,21.3,16.7
02,1966-1975,20.7,14.4
02,1966-1975,20,12.8
02,1966-1975,22.1,15.6
02,1966-1975,25,14.4
02,1966-1975,24.1,17
02,1966-1975,24.2,13.7
02,1966-1975,22.7,16.4
02,1966-1975,24.6,16.1
02,1966-1975,25.9,14.8
02,1966-1975,25.4,15
03,1966-1975,24,19.1
03,1966-1975,23.3,12.8
03,1966-1975,23.1,16.1
03,1966-1975,21.5,13.9
03,1966-1975,22.9,14.3
03,1966-1975,24.1,16.3
03,1966-1975,24.7,18.9
03,1966-1975,24.3,18.2
03,1966-1975,23.8,18.4
03,1966-1975,24.2,19.5
03,1966-1975,24,20.6
03,1966-1975,24.7,16.3
03,1966-1975,20.4,13.8
03,1966-1975,22.6,11
03,1966-1975,21.8,12.7
03,1966-1975,20.6,11.7
03,1966-1975,24.2,12.9
03,1966-1975,21.6,13.8
03,1966-1975,21.1,11
03,1966-1975,23.6,13.6
03,1966-1975,24.3,16.1
03,1966-1975,21.1,15.9
03,1966-1975,21.6,17.1
03,1966-1975,21.6,19.3
03,1966-1975,22.8,14.7
03,1966-1975,20.3,11
03,1966-1975,20.1,12.2
03,1966-1975,21.2,13.3
03,1966-1975,21.3,12.6
03,1966-1975,21.9,12.7
03,1966-1975,21.7,13.7
04,1966-1975,22,11.6
04,1966-1975,21.7,11.7
04,1966-1975,21.6,15.6
04,1966-1975,19.8,8.3
04,1966-1975,18.6,7.1
04,1966-1975,20.4,9.6
04,1966-1975,21.3,13
04,1966-1975,23.8,15.2
04,1966-1975,23,17.3
04,1966-1975,23.3,17.6
04,1966-1975,23.3,14.8
04,1966-1975,22.2,14.7
04,1966-1975,20.6,14.3
04,1966-1975,21.9,11
04,1966-1975,19.2,8.9
04,1966-1975,19,10.2
04,1966-1975,18.8,12.8
04,1966-1975,18.4,13
04,1966-1975,17.8,13.2
04,1966-1975,19,15
04,1966-1975,18.4,15.6
04,1966-1975,20.3,14.3
04,1966-1975,20.4,12.1
04,1966-1975,21.5,14.3
04,1966-1975,17.9,8.2
04,1966-1975,20.1,11.6
04,1966-1975,21.4,12.1
04,1966-1975,16.2,9.1
04,1966-1975,15.7,8.8
04,1966-1975,19.5,11.9
05,1966-1975,17.8,13.4
05,1966-1975,17.2,12.1
05,1966-1975,17.2,12
05,1966-1975,17.4,12.8
05,1966-1975,17.9,14.3
05,1966-1975,16.8,10.9
05,1966-1975,17.8,12.4
05,1966-1975,18.3,8.5
05,1966-1975,17.3,9.8
05,1966-1975,20.4,13.1
05,1966-1975,17.7,12.7
05,1966-1975,16.2,8.4
05,1966-1975,14.6,4.9
05,1966-1975,16,8.6
05,1966-1975,17.8,12.3
05,1966-1975,14.7,5.4
05,1966-1975,12.6,4.5
05,1966-1975,15.9,10.1
05,1966-1975,16.8,5.4
05,1966-1975,16.2,8.9
05,1966-1975,16.7,7.2
05,1966-1975,17.9,6.3
05,1966-1975,18.2,8.8
05,1966-1975,18.9,13.1
05,1966-1975,18.4,14.1
05,1966-1975,19.1,15.9
05,1966-1975,18.4,11.1
05,1966-1975,16.8,9.4
05,1966-1975,16.8,6.7
05,1966-1975,14.8,8.6
05,1966-1975,15.1,8.4
06,1966-1975,15.8,6.4
06,1966-1975,12.2,1.1
06,1966-1975,15.2,8.2
06,1966-1975,15.6,7.4
06,1966-1975,12.2,8.4
06,1966-1975,13.5,6.7
06,1966-1975,12.2,4.4
06,1966-1975,12.8,4.7
06,1966-1975,14.3,3.9
06,1966-1975,14.4,11.1
06,1966-1975,14.6,6.6
06,1966-1975,14.2,3.4
06,1966-1975,12.3,0.9
06,1966-1975,13.4,4.1
06,1966-1975,14.2,2.6
06,1966-1975,13.6,5.1
06,1966-1975,13.9,6.1
06,1966-1975,15.6,8.3
06,1966-1975,15.4,12.1
06,1966-1975,16.9,10.5
06,1966-1975,15.5,11.7
06,1966-1975,16.2,6.7
06,1966-1975,10.8,-0.3
06,1966-1975,12.2,1.7
06,1966-1975,13.8,6.7
06,1966-1975,16.1,8.8
06,1966-1975,14.2,5.9
06,1966-1975,12.1,2.8
06,1966-1975,9.5,2.9
06,1966-1975,11.3,3.3
07,1966-1975,14,5.5
07,1966-1975,15.3,9.4
07,1966-1975,17.2,12.8
07,1966-1975,18.3,11.6
07,1966-1975,16,10.6
07,1966-1975,14.4,8.6
07,1966-1975,14.4,6.1
07,1966-1975,12.2,7
07,1966-1975,13.9,4.9
07,1966-1975,11.2,2.9
07,1966-1975,11.4,1.8
07,1966-1975,11.9,2.1
07,1966-1975,12.2,2.3
07,1966-1975,13.4,3.9
07,1966-1975,15.9,7.7
07,1966-1975,12.8,2.7
07,1966-1975,12.5,1.3
07,1966-1975,12.4,2.9
07,1966-1975,15.6,5.9
07,1966-1975,14.3,6.1
07,1966-1975,14.8,7.1
07,1966-1975,11.7,6.1
07,1966-1975,14.4,6.6
07,1966-1975,13,6.6
07,1966-1975,14.3,4.9
07,1966-1975,14.4,7.1
07,1966-1975,15.4,7.2
07,1966-1975,15.1,5.7
07,1966-1975,15.9,6.9
07,1966-1975,15,6.4
07,1966-1975,14.6,10.9
08,1966-1975,16.1,11.3
08,1966-1975,17.9,12.8
08,1966-1975,16.8,10.7
08,1966-1975,18.3,10.7
08,1966-1975,14.8,7.8
08,1966-1975,11.7,3.7
08,1966-1975,14.3,6.7
08,1966-1975,14.4,7.2
08,1966-1975,14,8.5
08,1966-1975,15.1,10.4
08,1966-1975,16.1,12.2
08,1966-1975,16.1,12.6
08,1966-1975,17.5,11.3
08,1966-1975,16.9,7.8
08,1966-1975,15.3,10.1
08,1966-1975,17.1,10
08,1966-1975,15.8,6.5
08,1966-1975,16.1,5.1
08,1966-1975,15.8,7.9
08,1966-1975,16.4,7.2
08,1966-1975,15.1,7.2
08,1966-1975,14.5,9.1
08,1966-1975,14.7,9.7
08,1966-1975,16.4,10.3
08,1966-1975,18.3,12.9
08,1966-1975,17.1,10.1
08,1966-1975,15.6,9.9
08,1966-1975,15.1,7.3
08,1966-1975,16.3,10.3
08,1966-1975,16.1,8.6
08,1966-1975,16.1,7.2
09,1966-1975,18.1,5.9
09,1966-1975,17.9,9.5
09,1966-1975,15.4,10
09,1966-1975,15.1,6.1
09,1966-1975,12.4,4.6
09,1966-1975,12.3,6.9
09,1966-1975,14.5,3.3
09,1966-1975,14.8,7.1
09,1966-1975,14.4,10
09,1966-1975,16.7,9.4
09,1966-1975,14.6,8.4
09,1966-1975,12.9,7.7
09,1966-1975,17.9,10.7
09,1966-1975,13.4,10.7
09,1966-1975,14.9,5.6
09,1966-1975,15.4,7.2
09,1966-1975,16,9.4
09,1966-1975,17.9,12.3
09,1966-1975,19.9,8.9
09,1966-1975,16.1,9.1
09,1966-1975,16.2,7.9
09,1966-1975,16.1,11.4
09,1966-1975,15.2,11.1
09,1966-1975,16.8,10.7
09,1966-1975,16.1,9
09,1966-1975,16.1,7.3
09,1966-1975,16,10.6
09,1966-1975,15.6,11.9
09,1966-1975,17.2,12.5
09,1966-1975,16.2,6.3
10,1966-1975,17.7,11.7
10,1966-1975,17.2,12.6
10,1966-1975,16.9,8.7
10,1966-1975,19,12.1
10,1966-1975,15.5,8.9
10,1966-1975,18.4,11.1
10,1966-1975,19.6,12.2
10,1966-1975,19.8,13.6
10,1966-1975,21.4,12.4
10,1966-1975,19.2,13.8
10,1966-1975,19.9,10.4
10,1966-1975,18.3,7.2
10,1966-1975,19.1,11.7
10,1966-1975,19.7,10.6
10,1966-1975,20.2,11.3
10,1966-1975,19.6,15.1
10,1966-1975,19.6,14.1
10,1966-1975,17.3,12.3
10,1966-1975,19.1,13.9
10,1966-1975,20.1,11.2
10,1966-1975,20.2,14.4
10,1966-1975,18.2,12.6
10,1966-1975,15.9,10.6
10,1966-1975,16.1,9.7
10,1966-1975,19.9,8.6
10,1966-1975,19.1,10.1
10,1966-1975,19.2,8.8
10,1966-1975,19.9,12.6
10,1966-1975,20,9.9
10,1966-1975,20.8,14.1
10,1966-1975,19.4,8.9
11,1966-1975,18.4,12.2
11,1966-1975,16.1,10.6
11,1966-1975,16.9,12.2
11,1966-1975,17.3,13.9
11,1966-1975,16.7,6.7
11,1966-1975,19.6,10.1
11,1966-1975,18.3,14.4
11,1966-1975,18.4,13.3
11,1966-1975,17.3,10.3
11,1966-1975,18.1,12.1
11,1966-1975,18.3,7.5
11,1966-1975,17.9,15
11,1966-1975,17.9,11.9
11,1966-1975,19.3,13.1
11,1966-1975,19.8,16.2
11,1966-1975,23.3,14.4
11,1966-1975,22.8,16.1
11,1966-1975,21,14.4
11,1966-1975,20.2,13.7
11,1966-1975,17.4,11.3
11,1966-1975,20.1,13.1
11,1966-1975,17.7,11.4
11,1966-1975,19.8,13.8
11,1966-1975,21.2,17.3
11,1966-1975,21,14.3
11,1966-1975,22.7,11.6
11,1966-1975,21.8,15.3
11,1966-1975,22.8,17.4
11,1966-1975,22.2,17.8
11,1966-1975,22.2,12.7
12,1966-1975,19.4,12.6
12,1966-1975,17.6,11.9
12,1966-1975,19.3,15.9
12,1966-1975,20.1,15.5
12,1966-1975,22.3,15.2
12,1966-1975,22.4,16.8
12,1966-1975,20.6,13.5
12,1966-1975,19.7,13.9
12,1966-1975,19.6,14.1
12,1966-1975,19.3,11.8
12,1966-1975,17,11.6
12,1966-1975,17.6,14
12,1966-1975,18.2,14.8
12,1966-1975,20.3,12.1
12,1966-1975,23.4,16.6
12,1966-1975,23.9,14.6
12,1966-1975,17.9,14.4
12,1966-1975,19.3,14.3
12,1966-1975,23.9,12.9
12,1966-1975,22.2,12.4
12,1966-1975,20.8,13.7
12,1966-1975,21.1,13.6
12,1966-1975,21.8,16
12,1966-1975,25,16.8
12,1966-1975,24.1,16.3
12,1966-1975,22.9,14.1
12,1966-1975,23.9,15.3
12,1966-1975,25.1,15.6
12,1966-1975,23.4,14.3
12,1966-1975,22,15.6
12,1966-1975,23.8,14.9
01,1966-1975,22.9,15.6
01,1966-1975,21.4,12.9
01,1966-1975,21.7,15
01,1966-1975,20.1,15
01,1966-1975,20.5,14.1
01,1966-1975,21.2,16.9
01,1966-1975,20.3,12.4
01,1966-1975,22.9,16.7
01,1966-1975,23.4,15.6
01,1966-1975,22.4,16.7
01,1966-1975,21.7,15.8
01,1966-1975,25.7,15.1
01,1966-1975,25.1,19
01,1966-1975,24.2,15.9
01,1966-1975,22.6,16.9
01,1966-1975,20.9,14.4
01,1966-1975,19.9,14.9
01,1966-1975,21.3,15.9
01,1966-1975,24.9,11.6
01,1966-1975,18.4,13.8
01,1966-1975,19,14.3
01,1966-1975,20.7,11.6
01,1966-1975,21.6,13.4
01,1966-1975,21.2,15.6
01,1966-1975,21.8,15.6
01,1966-1975,26.1,16.6
01,1966-1975,24.3,13.8
01,1966-1975,23.1,17.2
01,1966-1975,21,14.1
01,1966-1975,22.2,14.1
01,1966-1975,21.6,16.1
02,1966-1975,21.4,17.1
02,1966-1975,22.7,18.4
02,1966-1975,23.2,18.9
02,1966-1975,25.7,14.6
02,1966-1975,20,10.7
02,1966-1975,20.7,10.7
02,1966-1975,21.7,12.5
02,1966-1975,22.3,13.4
02,1966-1975,22.7,18.5
02,1966-1975,23.3,16.1
02,1966-1975,20.6,13.9
02,1966-1975,20.4,10.9
02,1966-1975,22.6,16.7
02,1966-1975,20.8,13.3
02,1966-1975,23.4,13.6
02,1966-1975,18.3,13.4
02,1966-1975,20.9,12.8
02,1966-1975,21.7,15.8
02,1966-1975,20.6,16.6
02,1966-1975,21.7,17.5
02,1966-1975,21.4,14.4
02,1966-1975,25.7,16.4
02,1966-1975,25.1,14.6
02,1966-1975,24.6,15.7
02,1966-1975,25.8,15.1
02,1966-1975,24.7,13.1
02,1966-1975,24.1,12.7
02,1966-1975,24.6,14.4
02,1966-1975,25.1,18.1
03,1966-1975,25.5,17.3
03,1966-1975,23.8,12.8
03,1966-1975,27.2,15.1
03,1966-1975,26.1,15.2
03,1966-1975,26.6,14.5
03,1966-1975,24.9,16.6
03,1966-1975,26.7,18.9
03,1966-1975,24.1,19.4
03,1966-1975,23.8,19.5
03,1966-1975,25.1,16.4
03,1966-1975,24.3,16.3
03,1966-1975,27.2,18.8
03,1966-1975,24,14.4
03,1966-1975,24.8,17.5
03,1966-1975,22.7,15.6
03,1966-1975,24.2,15.3
03,1966-1975,26.8,17.6
03,1966-1975,23.4,13.5
03,1966-1975,23.3,17.1
03,1966-1975,21.2,18.1
03,1966-1975,21.6,15
03,1966-1975,25.1,13
03,1966-1975,24.4,13.6
03,1966-1975,24.7,15.6
03,1966-1975,21.9,15.6
03,1966-1975,25,13.3
03,1966-1975,24.8,15
03,1966-1975,22.8,15.8
03,1966-1975,25.9,17.8
03,1966-1975,25.9,18.4
03,1966-1975,25.9,19.4
04,1966-1975,23.4,18.6
04,1966-1975,22.6,17.8
04,1966-1975,22.3,18.3
04,1966-1975,21.6,16.8
04,1966-1975,21.9,16.6
04,1966-1975,22.7,18.2
04,1966-1975,23.6,15.8
04,1966-1975,23.1,17.8
04,1966-1975,23.5,17.3
04,1966-1975,20.7,13.7
04,1966-1975,17.3,9.9
04,1966-1975,17.3,7.9
04,1966-1975,18.2,11.1
04,1966-1975,16.9,12.7
04,1966-1975,17.2,10
04,1966-1975,18.4,12.1
04,1966-1975,16.8,12.2
04,1966-1975,17.3,11.2
04,1966-1975,15.1,8.4
04,1966-1975,17.4,11.8
04,1966-1975,16.7,14.1
04,1966-1975,18.2,13.9
04,1966-1975,19.8,10.6
04,1966-1975,20,14.2
04,1966-1975,18.3,10.1
04,1966-1975,14.6,10.1
04,1966-1975,17,8.9
04,1966-1975,15.1,10.5
04,1966-1975,16.1,7.7
04,1966-1975,17.6,11.1
05,1966-1975,19.3,14.3
05,1966-1975,20.1,13.6
05,1966-1975,20.1,12.3
05,1966-1975,19.7,13.6
05,1966-1975,19.7,15.3
05,1966-1975,17.8,8.9
05,1966-1975,19.1,12
05,1966-1975,14.5,7.6
05,1966-1975,15.3,11.4
05,1966-1975,16.2,7.7
05,1966-1975,15.7,4.6
05,1966-1975,15.7,5.9
05,1966-1975,17,5.8
05,1966-1975,16.9,7.2
05,1966-1975,18.6,7.7
05,1966-1975,16.5,7.2
05,1966-1975,18.3,12.6
05,1966-1975,20.1,10.2
05,1966-1975,17.3,10.1
05,1966-1975,19.3,12.4
05,1966-1975,17.4,10.9
05,1966-1975,15.2,9.8
05,1966-1975,15.3,7.8
05,1966-1975,15.4,4.3
05,1966-1975,16.1,7.2
05,1966-1975,17.3,12.9
05,1966-1975,17.2,6.7
05,1966-1975,17.1,8.9
05,1966-1975,15.7,12.2
05,1966-1975,15.9,9.4
05,1966-1975,15,9.4
06,1966-1975,15.1,9.7
06,1966-1975,15.1,11.8
06,1966-1975,17.3,10.4
06,1966-1975,17.1,8.8
06,1966-1975,15.7,9.3
