Car Name,origin,Price,Type,city,openroad,Drive train,Engine_size,Tranmission,Weight
Toyota Tercel,foreign,11.8,Small,32,37,RearWheelDr,1.5,yes,932
Ford Probe,american,15.2,Sporty,24,30,RearWheelDr,2,yes,1229
Geo Storm,foreign,13.5,Sporty,30,36,RearWheelDr,1.6,yes,1123
Mercury Capri,american,15,Sporty,23,26,RearWheelDr,1.6,yes,1111
Toyota Celica,foreign,22.6,Sporty,25,32,RearWheelDr,2.2,yes,1338
Chrysler LeBaron,american,17.1,Compact,23,28,RearWheelDr,3,no,1399
Honda Accord,foreign,21.2,Compact,24,31,RearWheelDr,2.2,yes,1379
Chrylser Concorde,american,18.4,Large,20,28,RearWheelDr,3.3,no,1594
Eagle Vision,american,21.2,Large,20,28,RearWheelDr,3.5,no,1583
Pontiac Bonneville,american,29.4,Large,19,28,RearWheelDr,3.8,no,1585
Acura Legend,foreign,38.7,Midsize,18,25,RearWheelDr,3.2,yes,1615
Audi 100,foreign,44.6,Midsize,19,26,RearWheelDr,2.8,yes,1544
Cadillac Seville,american,42.7,Midsize,16,25,RearWheelDr,4.6,no,1785
Lincoln Continental,american,35.3,Midsize,17,26,RearWheelDr,3.8,no,1676
Volvo 850,foreign,28.5,Midsize,20,28,RearWheelDr,2.4,yes,1472
Honda Prelude,foreign,22.7,Sporty,24,31,RearWheelDr,2.3,yes,1300
Chevrolet Cavalier,american,18.3,Compact,25,36,RearWheelDr,2.2,yes,1129
Ford Tempo,american,12.2,Compact,22,27,RearWheelDr,2.3,yes,1220
Oldsmobile Achieva,american,14,Compact,24,31,RearWheelDr,2.3,no,1320
Pontiac Sunbird,american,12.8,Compact,23,31,RearWheelDr,2,yes,1168
Volkswagen Passat,foreign,22.4,Compact,21,30,RearWheelDr,2,yes,1354
Chevrolet Lumina,american,18.4,Midsize,21,29,RearWheelDr,2.2,no,1449
Hyundai Sonata,foreign,15.3,Midsize,20,27,RearWheelDr,2,yes,1309
Pontiac Grand Prix,american,21.6,Midsize,19,27,RearWheelDr,3.4,yes,1565
Acura Integra,foreign,18.8,Small,25,31,RearWheelDr,1.8,yes,1227
Dodge Colt,american,10.6,Small,29,33,RearWheelDr,1.5,yes,1030
Eagle Summit,american,16.5,Small,29,33,RearWheelDr,1.5,yes,1041
Ford Festiva,american,7.9,Small,31,33,RearWheelDr,1.3,yes,837
Ford Escort,american,11.9,Small,23,30,RearWheelDr,1.8,yes,1148
Geo Metro,foreign,10,Small,46,50,RearWheelDr,1,yes,769
Hyundai Excel,foreign,9.2,Small,29,33,RearWheelDr,1.5,yes,1064
Hyundai Elantra,foreign,11,Small,22,29,RearWheelDr,1.8,yes,1188
Mazda 323,foreign,9.1,Small,29,37,RearWheelDr,1.6,yes,1055
Mazda Protege,foreign,12.3,Small,28,36,RearWheelDr,1.8,yes,1107
Mitsubishi Mirage,foreign,12.9,Small,29,33,RearWheelDr,1.5,yes,1041
Pontiac LeMans,american,9.9,Small,31,41,RearWheelDr,1.6,yes,1066
Suzuki Swift,foreign,10,Small,39,43,RearWheelDr,1.3,yes,891
Volkswagen Fox,foreign,9.5,Small,25,33,RearWheelDr,1.8,yes,1016
Hyundai Scoupe,foreign,11,Sporty,26,34,RearWheelDr,1.5,yes,1036
Volkswagen Corrado,foreign,23.7,Sporty,18,25,RearWheelDr,2.8,yes,1275
Chevrolet Lumina APV,american,18,Van,18,23,RearWheelDr,3.8,no,1685
Nissan Quest,foreign,21.5,Van,17,23,RearWheelDr,3,no,1860
Oldsmobile Silhouette,american,19.5,Van,18,23,RearWheelDr,3.8,no,1685
Volkswagen Eurovan,foreign,22.7,Van,17,21,RearWheelDr,2.5,yes,1796
